schlcode	c_size	c_boys	c_girls	c_numcl	c_pik	c_status	c_leom	c_tip	c_num5rd	c_type	flgrm5	mrkgrm5	ngrm5	flmth5	mrkmth5	nmth5	towncode	townname	popcode	tip_a	grade	classid	classize	_type_	_freq_	cohsize	mathsize	avgmath	passmath	verbsize	avgverb	passverb	studchk	misskov2	missagg	nmiss_k	nmiss_a	classct	math_n	flmath_n	nmath_n	verb_n	flverb_n	nverb_n	impute	nverb_m	nmath_m	tip_s	townid	tipuach
11159	50	24	26	17	2	1	1	"3"	2	2	26.19	75	42	46.34	66	41	30007	"çâåôÖòâ"	12	17	5	1	26	0	2	50	18	74.56	33.3	18	80.78	11.1	1	0	0	0	0	2	65.73586	46.31463	41	74.74	26.18571	42	0			17	30007	17
11159	50	24	26	17	2	1	1	"3"	2	2	26.19	75	42	46.34	66	41	30007	"çâåôÖòâ"	12	17	5	2	24	0	2	50	23	58.83	56.5	24	70.21	37.5	1	0	0	0	0	2	65.73586	46.31463	41	74.74	26.18571	42	0			17	30007	17
11161	40	18	22	15	2	1	1	"2"	2	2	26.32	75	38	33.33	62	39	30007	"çâåôÖòâ"	12	19	5	1	18	0	2	40	18	61.83	27.8	17	77.29	23.5	1	0	0	1	0	2	61.83	27.8	18	77.29	23.5	17	0			19	30007	19
11161	40	18	22	15	2	1	1	"2"	2	2	26.32	75	38	33.33	62	39	30007	"çâåôÖòâ"	12	19	5	2	22	0	2	40	21	62.14571	38.07	21	73.14619	28.60286		1	0	1	0	2	61.83	27.8	18	77.29	23.5	17	1	21	21	19	30007	19
11165	21	15	6	7	1	1	1	"1"	1	1	33.33	78	18	5.56	78	18	30007	"çâåôÖòâ"	11	1	5	1	21	0	1	21	18	78.17	5.6	18	77.67	33.3	1	0	0	0	0	1	78.17	5.6	18	77.67	33.3	18	0			1	30007	1
11168	24	15	9	5	1	1	1	"2"	1	1	26.09	73	23	43.48	59	23	30007	"çâåôÖòâ"	11	5	5	1	24	0	1	24	23	58.48	43.5	23	73.26	26.1	1	0	0	0	0	1	58.48	43.5	23	73.26	26.1	23	0			5	30007	5
11170	67	43	24	12	2	2	1	"1"	2	2	17.74	83	62	17.74	74	62	36178	"Ñòîí"	12	2	5	1	43	0	2	67	16	74.25	18.8	16	85.19	12.5	1	0	0	0	0	2	76.17846	12.84359	39	85.72077	15.38974	39	0			2	36178	2
11170	67	43	24	12	2	2	1	"1"	2	2	17.74	83	62	17.74	74	62	36178	"Ñòîí"	12	2	5	2	24	0	2	67	23	77.52	8.7	23	86.09	17.4	1	0	0	0	0	2	76.17846	12.84359	39	85.72077	15.38974	39	0			2	36178	2
11171	74	33	41	23	2	2	1	"2"	2	2	25.71	73	70	28.57	66	70	36160	"çâéÉÄ Ñåíé"	12	8	5	1	33	0	2	74	29	70.66	20.7	29	77.48	24.1	1	0	0	0	0	2	66.46043	28.54857	70	73.011	25.68143	70	0			8	36160	8
11171	74	33	41	23	2	2	1	"2"	2	2	25.71	73	70	28.57	66	70	36160	"çâéÉÄ Ñåíé"	12	8	5	2	41	0	2	74	41	63.49	34.1	41	69.85	26.8	1	0	0	0	0	2	66.46043	28.54857	70	73.011	25.68143	70	0			8	36160	8
11172	13	6	7	6	2	2	1	"2"	1	1	9.09	86	11	9.09	81	11	35758	"èÖòÖá öâÅ"	12	7	5	1	13	0	1	13	11	81.27	9.1	11	86	9.1	1	0	0	0	0	1	81.27	9.1	11	86	9.1	11	0			7	35758	7
11181	64	30	34	16	1	1	1	"3"	2	2	26.79	72	56	23.21	64	56	30007	"çâåôÖòâ"	11	8	5	1	32	0	2	64	28	68.32	21.4	28	71.96	28.6	1	0	0	0	0	2	63.98	23.2	56	72.375	26.8	56	0			8	30007	8
11181	64	30	34	16	1	1	1	"3"	2	2	26.79	72	56	23.21	64	56	30007	"çâåôÖòâ"	11	8	5	2	32	0	2	64	28	59.64	25	28	72.79	25	1	0	0	0	0	2	63.98	23.2	56	72.375	26.8	56	0			8	30007	8
11182	46	23	23	16	2	1	1	"3"	2	2	18.18	81	44	18.18	72	44	30007	"çâåôÖòâ"	12	9	5	1	23	0	2	46	23	69.35	21.7	23	79.39	26.1	1	0	0	1	0	2	69.35	21.7	23	79.39	26.1	23	0			9	30007	9
11182	46	23	23	16	2	1	1	"3"	2	2	18.18	81	44	18.18	72	44	30007	"çâåôÖòâ"	12	9	5	2	23	0	2	46	21	74.90238	14.32476	21	82.76334	9.505714		1	0	1	0	2	69.35	21.7	23	79.39	26.1	23	1	21	21	9	30007	9
11183	79	40	39	13	1	1	1	"1"	2	2	20.27	77	74	16.22	66	74	30007	"çâåôÖòâ"	11	1	5	1	39	0	2	79	36	64.06	19.4	36	78.25	16.7	1	0	0	0	0	2	66.19108	16.21622	74	77.28459	20.29459	74	0			1	30007	1
11183	79	40	39	13	1	1	1	"1"	2	2	20.27	77	74	16.22	66	74	30007	"çâåôÖòâ"	11	1	5	2	40	0	2	79	38	68.21	13.2	38	76.37	23.7	1	0	0	0	0	2	66.19108	16.21622	74	77.28459	20.29459	74	0			1	30007	1
11184	81	43	38	16	2	2	1	"1"	2	2	12.16	80	74	17.57	76	74	35741	"åÄ öâÅ"	12	5	5	1	41	0	2	81	35	74.71	14.3	35	78.89	11.4	1	0	0	0	0	2	75.79	16.98302	53	80.24849	7.528302	53	0			5	35741	5
11184	81	43	38	16	2	2	1	"1"	2	2	12.16	80	74	17.57	76	74	35741	"åÄ öâÅ"	12	5	5	2	40	0	2	81	18	77.89	22.2	18	82.89	0	1	0	0	0	0	2	75.79	16.98302	53	80.24849	7.528302	53	0			5	35741	5
11187	115	58	57	25	1	1	1	"1"	3	3	16	78	100	21	74	100	30007	"çâåôÖòâ"	11	4	5	1	37	0	3	116	36	67.83	38.9	36	74.89	13.9	1	0	0	0	0	3	74.3001	20.60722	97	78.15526	15.45773	97	0			4	30007	4
11187	115	58	57	25	1	1	1	"1"	3	3	16	78	100	21	74	100	30007	"çâåôÖòâ"	11	4	5	2	39	0	3	116	35	73.69	17.1	35	79.2	20	1	0	0	0	0	3	74.3001	20.60722	97	78.15526	15.45773	97	0			4	30007	4
11187	115	58	57	25	1	1	1	"1"	3	3	16	78	100	21	74	100	30007	"çâåôÖòâ"	11	4	5	3	40	0	3	116	26	84.08	0	26	81.27	11.5	1	0	0	0	0	3	74.3001	20.60722	97	78.15526	15.45773	97	0			4	30007	4
11188	60	26	34	12	1	1	1	"1"	2	2	41.51	63	53	66.04	43	53	30007	"çâåôÖòâ"	11	12	5	2	25	0	2	55	24	47.33	58.3	24	70.67	33.3	1	0	0	1	0	2	47.33	58.3	24	70.67	33.3	24	0			12	30007	12
11188	60	26	34	12	1	1	1	"1"	2	2	41.51	63	53	66.04	43	53	30007	"çâåôÖòâ"	11	12	5	1	30	0	2	55	29	39.41655	72.44552	29	56.65241	48.30448		1	0	1	0	2	47.33	58.3	24	70.67	33.3	24	1	29	29	12	30007	12
11189	32	0	32	10	2	1	1	"3"	1	1	25.81	77	31	9.38	81	32	30007	"çâåôÖòâ"	12	11	5	1	32	0	1	32	32	81.22	9.4	31	77.1	25.8	1	0	0	0	0	1	81.22	9.4	32	77.1	25.8	31	0			11	30007	11
11190	81	42	39	17	1	1	1	"1"	3	3	29.33	73	75	24.05	68	79	30007	"çâåôÖòâ"	11	5	5	2	27	0	3	81	26	63.15	26.9	26	69.96	26.9	1	0	0	1	0	3	65.515	25	52	73.4016	23.972	50	0			5	30007	5
11190	81	42	39	17	1	1	1	"1"	3	3	29.33	73	75	24.05	68	79	30007	"çâåôÖòâ"	11	5	5	3	27	0	3	81	26	67.88	23.1	24	77.13	20.8	1	0	0	1	0	3	65.515	25	52	73.4016	23.972	50	0			5	30007	5
11190	81	42	39	17	1	1	1	"1"	3	3	29.33	73	75	24.05	68	79	30007	"çâåôÖòâ"	11	5	5	1	27	0	3	81	27	72.78593	22.22037	25	72.1968	40.046		1	0	1	0	3	65.515	25	52	73.4016	23.972	50	1	25	27	5	30007	5
11196	28	22	6	6	2	2	1	"1"	1	1	25.93	81	27	7.41	73	27	35733	"ôâéåá"	12	0	5	1	28	0	1	28	27	73.22	7.4	27	81.26	25.9	1	0	0	0	0	1	73.22	7.4	27	81.26	25.9	27	0			0	35733	0
11201	99	50	49	18	1	1	1	"1"	3	3	15.12	79	86	8.89	70	90	30007	"çâåôÖòâ"	11	3	5	1	35	0	3	99	32	67.38	12.5	29	78.24	10.3	1	0	0	0	0	3	70.10423	8.886666	90	78.95023	15.1093	86	0			3	30007	3
11201	99	50	49	18	1	1	1	"1"	3	3	15.12	79	86	8.89	70	90	30007	"çâåôÖòâ"	11	3	5	2	30	0	3	99	28	72.29	7.1	28	80.96	14.3	1	0	0	0	0	3	70.10423	8.886666	90	78.95023	15.1093	86	0			3	30007	3
11201	99	50	49	18	1	1	1	"1"	3	3	15.12	79	86	8.89	70	90	30007	"çâåôÖòâ"	11	3	5	3	34	0	3	99	30	70.97	6.7	29	77.72	20.7	1	0	0	0	0	3	70.10423	8.886666	90	78.95023	15.1093	86	0			3	30007	3
11203	23	13	10	8	1	1	1	""	1	1	4.76	82	21	23.81	67	21	2865	"ÑôéáÑ Ñåíé"	11	0	5	1	23	0	1	23	21	66.76	23.8	21	82.24	4.8	1	0	0	0	0	1	66.76	23.8	21	82.24	4.8	21	0			0	2865	0
11205	20	11	9	8	2	2	1	"0"	1	1	10.53	78	19	25	70	20	36384	"çâéÉÄ òîã"	12	3	5	1	20	0	1	20	20	70	25	19	78	10.53		1	0	1	0	1							1			3	36384	3
11207	75	43	32	15	1	1	1	"2"	3	3	24.32	69	74	24.32	66	74	26104	"ôéô öâÅ"	11	10	5	1	25	0	3	75	23	61.61	34.8	23	64.48	34.8	1	0	0	0	0	3	66.35122	24.31892	74	69.35108	24.33513	74	0			10	26104	10
11207	75	43	32	15	1	1	1	"2"	3	3	24.32	69	74	24.32	66	74	26104	"ôéô öâÅ"	11	10	5	2	27	0	3	75	26	66.96	19.2	26	68.19	15.4	1	0	0	0	0	3	66.35122	24.31892	74	69.35108	24.33513	74	0			10	26104	10
11207	75	43	32	15	1	1	1	"2"	3	3	24.32	69	74	24.32	66	74	26104	"ôéô öâÅ"	11	10	5	3	23	0	3	75	25	70.08	20	25	75.04	24	1	0	0	0	0	3	66.35122	24.31892	74	69.35108	24.33513	74	0			10	26104	10
11209	33	21	12	10	1	2	1	"0"	1	1	34.38	76	32	34.38	59	32	36525	"ÑâòÄ öâÅ"	11	0	5	1	33	0	1	33	32	59.41	34.4	32	76.16	34.4	1	0	0	0	0	1	59.41	34.4	32	76.16	34.4	32	0			0	36525	0
11212	32	20	12	9	2	2	1	"0"	1	1	10.34	83	29	13.79	78	29	36418	"Ñåâô"	12	2	5	1	32	0	1	32	29	78.03	13.8	29	82.59	10.3	1	0	0	0	0	1	78.03	13.8	29	82.59	10.3	29	0			2	36418	2
