schlcode	c_size	c_boys	c_girls	c_numcl	c_pik	c_status	c_leom	c_tip	c_num4rd	c_type	flgrm4	mrkgrm4	ngrm4	flmth4	mrkmth4	nmth4	towncode	townname	popcode	tip_a	grade	classid	classize	_type_	_freq_	cohsize	mathsize	avgmath	passmath	verbsize	avgverb	passverb	studchk	misskov2	missagg	nmiss_k	nmiss_a	classct	math_n	flmath_n	nmath_n	verb_n	flverb_n	nverb_n	impute	nverb_m	nmath_m	tip_s	townid	tipuach
11005	35	12	23	9	1	2	1	"5"	1	1	17	66	35	17.14	65	35	26104	"ôéô öâÅ"	11	24	4	1	35	0	1	35	35	64.94	17.1	35	65.77	17.1	1	0	0	0	0	1	64.94	17.1	35	65.77	17.1	35	0			24	26104	24
11006	54	23	31	12	2	2	1	"7"	2	2	31	61	49	54.17	57	48	26104	"ôéô öâÅ"	12	38	4	1	27	0	2	54	25	56.8	60	25	59.32	40	1	0	0	0	0	2	56.85271	54.15417	48	61.40653	30.59592	49	0			38	26104	38
11006	54	23	31	12	2	2	1	"7"	2	2	31	61	49	54.17	57	48	26104	"ôéô öâÅ"	12	38	4	2	27	0	2	54	23	56.91	47.8	24	63.58	20.8	1	0	0	0	0	2	56.85271	54.15417	48	61.40653	30.59592	49	0			38	26104	38
11009	38	15	23	6	1	2	1	"1"	1	1	13	78	38	21.62	77	37	4622	"òáô åà"	11	6	4	1	38	0	1	38	37	76.7	21.6	38	78.37	13.2	1	0	0	0	0	1	76.7	21.6	37	78.37	13.2	38	0			6	4622	6
11010	73	40	33	15	1	1	1	""	2	2	20	74	70	51.39	64	72	30007	"çâåôÖòâ"	11	3	4	1	37	0	2	73	35	61.4	65.7	35	76.6	20	1	0	0	0	0	2	64.09792	51.3625	72	74.485	20	70	0			3	30007	3
11010	73	40	33	15	1	1	1	""	2	2	20	74	70	51.39	64	72	30007	"çâåôÖòâ"	11	3	4	2	36	0	2	73	37	66.65	37.8	35	72.37	20	1	0	0	0	0	2	64.09792	51.3625	72	74.485	20	70	0			3	30007	3
11013	65	31	34	17	1	1	1	"2"	2	2	38	64	61	40.98	65	61	30007	"çâåôÖòâ"	11	8	4	2	31	0	2	65	28	58.71	64.3	28	59.5	42.9	1	0	0	1	0	2	58.71	64.3	28	59.5	42.9	28	0			8	30007	8
11013	65	31	34	17	1	1	1	"2"	2	2	38	64	61	40.98	65	61	30007	"çâåôÖòâ"	11	8	4	1	34	0	2	65	33	70.33697	21.19333	33	67.81818	33.84242		1	0	1	0	2	58.71	64.3	28	59.5	42.9	28	1	33	33	8	30007	8
11015	89	35	54	17	1	1	1	"1"	3	3	5	84	85	8.24	80	85	30007	"çâåôÖòâ"	11	6	4	1	30	0	3	89	27	81.59	7.4	27	84.07	0	1	0	0	1	0	3	80.52684	7.031579	57	82.98053	3.526316	57	0			6	30007	6
11015	89	35	54	17	1	1	1	"1"	3	3	5	84	85	8.24	80	85	30007	"çâåôÖòâ"	11	6	4	2	30	0	3	89	30	79.57	6.7	30	82	6.7	1	0	0	1	0	3	80.52684	7.031579	57	82.98053	3.526316	57	0			6	30007	6
11015	89	35	54	17	1	1	1	"1"	3	3	5	84	85	8.24	80	85	30007	"çâåôÖòâ"	11	6	4	3	29	0	3	89	28	78.9275	10.7	28	86.07536	8		1	0	1	0	3	80.52684	7.031579	57	82.98053	3.526316	57	1	28	28	6	30007	6
11017	85	43	42	14	1	1	1	"2"	3	3	27	68	75	30.26	66	76	30007	"çâåôÖòâ"	11	9	4	1	29	0	3	85	27	72.89	11.1	27	74.85	22.2	1	0	0	0	0	3	66.33025	31.70488	82	64.12111	30.85432	81	0			9	30007	9
11017	85	43	42	14	1	1	1	"2"	3	3	27	68	75	30.26	66	76	30007	"çâåôÖòâ"	11	9	4	2	28	0	3	85	28	67.43	42.9	28	62.96	32.1	1	0	0	0	0	3	66.33025	31.70488	82	64.12111	30.85432	81	0			9	30007	9
11017	85	43	42	14	1	1	1	"2"	3	3	27	68	75	30.26	66	76	30007	"çâåôÖòâ"	11	9	4	3	28	0	3	85	27	58.63	40.7	26	54.23	38.5	1	0	0	0	0	3	66.33025	31.70488	82	64.12111	30.85432	81	0			9	30007	9
11020	74	32	42	14	1	1	1	"1"	2	2	17	75	69	18.31	76	71	30007	"çâåôÖòâ"	11	5	4	1	38	0	2	74	36	76.39	19.4	36	75.81	13.9	1	0	0	0	0	2	76.01535	18.2662	71	74.85826	17.3913	69	0			5	30007	5
11020	74	32	42	14	1	1	1	"1"	2	2	17	75	69	18.31	76	71	30007	"çâåôÖòâ"	11	5	4	2	36	0	2	74	35	75.63	17.1	33	73.82	21.2	1	0	0	0	0	2	76.01535	18.2662	71	74.85826	17.3913	69	0			5	30007	5
11021	66	31	35	12	1	1	1	"2"	2	2	17	75	65	26.15	71	65	30007	"çâåôÖòâ"	11	11	4	2	34	0	2	65	34	71.29	17.6	34	75.35	14.7	1	0	0	1	0	2	71.29	17.6	34	75.35	14.7	34	0			11	30007	11
11021	66	31	35	12	1	1	1	"2"	2	2	17	75	65	26.15	71	65	30007	"çâåôÖòâ"	11	11	4	1	31	0	2	65	31	70.68194	35.52742	31	74.61613	19.52258		1	0	1	0	2	71.29	17.6	34	75.35	14.7	34	1	31	31	11	30007	11
11027	96	48	48	18	1	1	1	"1"	3	3	10	77	93	22.58	71	93	30007	"çâåôÖòâ"	11	5	4	1	33	0	3	96	31	68.13	16.1	31	76.61	6.5	1	0	0	0	0	3	71.14011	22.57957	93	76.61323	9.721505	93	0			5	30007	5
11027	96	48	48	18	1	1	1	"1"	3	3	10	77	93	22.58	71	93	30007	"çâåôÖòâ"	11	5	4	2	32	0	3	96	30	71.2	30	30	75.5	16.7	1	0	0	0	0	3	71.14011	22.57957	93	76.61323	9.721505	93	0			5	30007	5
11027	96	48	48	18	1	1	1	"1"	3	3	10	77	93	22.58	71	93	30007	"çâåôÖòâ"	11	5	4	3	31	0	3	96	32	74	21.9	32	77.66	6.3	1	0	0	0	0	3	71.14011	22.57957	93	76.61323	9.721505	93	0			5	30007	5
11029	87	39	48	14	1	1	1	"2"	3	3	27	65	82	47.56	60	82	30007	"çâåôÖòâ"	11	11	4	1	31	0	3	87	30	61.57	50	30	66.23	13.3	1	0	0	0	0	3	59.69671	47.57439	82	64.75366	26.80122	82	0			11	30007	11
11029	87	39	48	14	1	1	1	"2"	3	3	27	65	82	47.56	60	82	30007	"çâåôÖòâ"	11	11	4	2	26	0	3	87	27	55.89	59.3	27	61.7	48.1	1	0	0	0	0	3	59.69671	47.57439	82	64.75366	26.80122	82	0			11	30007	11
11029	87	39	48	14	1	1	1	"2"	3	3	27	65	82	47.56	60	82	30007	"çâåôÖòâ"	11	11	4	3	30	0	3	87	25	61.56	32	25	66.28	20	1	0	0	0	0	3	59.69671	47.57439	82	64.75366	26.80122	82	0			11	30007	11
11031	73	36	37	13	1	1	1	"2"	2	2	13	77	68	25.35	72	71	30007	"çâåôÖòâ"	11	12	4	1	36	0	2	73	35	68.26	31.4	32	75.94	18.8	1	0	0	0	0	2	71.76366	25.31549	71	76.75	13.24118	68	0			12	30007	12
11031	73	36	37	13	1	1	1	"2"	2	2	13	77	68	25.35	72	71	30007	"çâåôÖòâ"	11	12	4	2	37	0	2	73	36	75.17	19.4	36	77.47	8.3	1	0	0	0	0	2	71.76366	25.31549	71	76.75	13.24118	68	0			12	30007	12
11032	80	40	40	19	1	1	1	"4"	3	3	27	62	73	50	61	80	30007	"çâåôÖòâ"	11	13	4	1	29	0	3	87	26	65.85	50	23	62.04	30.4	1	0	0	1	0	3	64.23	49.03207	53	62.20449	26.52653	49	0			13	30007	13
11032	80	40	40	19	1	1	1	"4"	3	3	27	62	73	50	61	80	30007	"çâåôÖòâ"	11	13	4	2	29	0	3	87	27	62.67	48.1	26	62.35	23.1	1	0	0	1	0	3	64.23	49.03207	53	62.20449	26.52653	49	0			13	30007	13
11032	80	40	40	19	1	1	1	"4"	3	3	27	62	73	50	61	80	30007	"çâåôÖòâ"	11	13	4	3	29	0	3	87	27	54.65963	51.9	24	61.5825	27.96667		1	0	1	0	3	64.23	49.03207	53	62.20449	26.52653	49	1	24	27	13	30007	13
11034	79	49	30	15	1	1	1	"2"	3	3	15	66	71	52.05	62	73	30007	"çâåôÖòâ"	11	11	4	1	26	0	3	79	22	66.5	40.9	22	71	13.6	1	0	0	0	0	3	62.20548	52.0452	73	66.02887	15.45493	71	0			11	30007	11
11034	79	49	30	15	1	1	1	"2"	3	3	15	66	71	52.05	62	73	30007	"çâåôÖòâ"	11	11	4	2	26	0	3	79	24	54	66.7	23	58.91	21.7	1	0	0	0	0	3	62.20548	52.0452	73	66.02887	15.45493	71	0			11	30007	11
11034	79	49	30	15	1	1	1	"2"	3	3	15	66	71	52.05	62	73	30007	"çâåôÖòâ"	11	11	4	3	27	0	3	79	27	66	48.1	26	68.12	11.5	1	0	0	0	0	3	62.20548	52.0452	73	66.02887	15.45493	71	0			11	30007	11
11044	36	17	19	7	2	1	1	"8"	1	1	24	62	29	78.57	52	28	30007	"çâåôÖòâ"	12	50	4	1	35	0	1	35	28	51.86	78.6	29	62.14	24.1	1	0	0	0	0	1	51.86	78.6	28	62.14	24.1	29	0			50	30007	50
11045	77	34	43	17	2	1	1	"2"	2	2	16	74	75	32	69	75	30007	"çâåôÖòâ"	12	9	4	1	38	0	2	77	37	71.24	16.2	37	76.08	10.8	1	0	0	0	0	2	69.10693	32.008	75	73.66827	16.01867	75	0			9	30007	9
11045	77	34	43	17	2	1	1	"2"	2	2	16	74	75	32	69	75	30007	"çâåôÖòâ"	12	9	4	2	39	0	2	77	38	67.03	47.4	38	71.32	21.1	1	0	0	0	0	2	69.10693	32.008	75	73.66827	16.01867	75	0			9	30007	9
